title,text,label
"Chính sách thuế TNCN mới có lợi cho người lao động","Bộ Tài chính đề xuất sửa đổi mức giảm trừ gia cảnh trong thuế thu nhập cá nhân để phù hợp với mức sống hiện tại",reliable
"Đại học Bách Khoa lọt top 100 châu Á theo bảng xếp hạng QS","Trường Đại học Bách Khoa Hà Nội được tạp chí QS xếp vào danh sách 100 trường đại học hàng đầu châu Á",reliable
"Sản lượng xuất khẩu nông sản tăng trưởng 20 phần trăm","Bộ Nông nghiệp và Phát triển Nông thôn cho biết sản lượng xuất khẩu nông sản 9 tháng đầu năm tăng gần 20 phần trăm",reliable
"Tổng cục Thuế giải thích quy định hoàn thuế mới","Tổng cục Thuế ban hành văn bản hướng dẫn chi tiết về quy trình hoàn thuế giá trị gia tăng cho doanh nghiệp xuất khẩu",reliable
"Bộ Lao động công bố mức lương tối thiểu vùng 2024","Bộ Lao động Thương binh và Xã hội công bố mức lương tối thiểu vùng tăng bình quân từ đầu năm 2024",reliable
"Hà Nội thí điểm mô hình trường học thông minh","Sở Giáo dục Đào tạo Hà Nội thí điểm triển khai mô hình trường học thông minh tại 20 trường tiểu học và THCS",reliable
"Bộ Tư pháp công bố kết quả pháp điển hóa luật","Bộ Tư pháp hoàn thành việc pháp điển hóa hệ thống văn bản quy phạm pháp luật theo chỉ đạo của Chính phủ",reliable
"Ngân hàng ACB báo cáo lợi nhuận quý tăng 15 phần trăm","Ngân hàng ACB công bố kết quả kinh doanh quý với lợi nhuận trước thuế tăng 15 phần trăm so với cùng kỳ năm trước",reliable
"TP HCM tổ chức lễ hội đường hoa Nguyễn Huệ dịp Tết","Ban Tổ chức thông báo lễ hội đường hoa Nguyễn Huệ sẽ diễn ra từ 28 tháng chạp đến mùng 5 Tết Nguyên Đán",reliable
"Bộ Khoa học công bố kết quả Giải thưởng Sáng tạo","Bộ Khoa học và Công nghệ trao Giải thưởng Sáng tạo Khoa học Công nghệ Việt Nam cho các công trình xuất sắc",reliable
"Chương trình vaccine sởi miễn phí cho trẻ em","Bộ Y tế triển khai chiến dịch tiêm vaccine sởi miễn phí cho trẻ em từ 9 tháng đến dưới 5 tuổi trong toàn quốc",reliable
"Quỹ bảo hiểm y tế thanh toán 95 phần trăm chi phí điều trị ung thư","Bảo hiểm xã hội Việt Nam thông báo quỹ bảo hiểm y tế sẽ thanh toán tới 95 phần trăm chi phí điều trị một số bệnh ung thư",reliable
"Thuốc bí truyền chữa ung thư 100 phần trăm trong 3 ngày","Một bài đăng trên mạng xã hội quảng cáo loại thuốc bí truyền có thể chữa ung thư hoàn toàn trong ba ngày mà không cần xạ trị hay hóa trị",unreliable
"Uống nước chanh mỗi sáng chữa khỏi mọi bệnh","Thông tin lan truyền trên mạng cho rằng chỉ cần uống nước chanh pha mật ong mỗi sáng là có thể chữa khỏi tất cả các loại bệnh mãn tính",unreliable
"Người ngoài hành tinh xuất hiện tại trung tâm Hà Nội","Tin đồn lan truyền trên mạng xã hội cho rằng có vật thể bay không xác định hạ cánh giữa trung tâm thủ đô Hà Nội",unreliable
"Bấm huyệt đặc biệt giúp cao thêm 10cm chỉ sau 1 tuần","Nhiều bài đăng không rõ nguồn gốc lan truyền phương pháp bấm huyệt bí truyền giúp tăng chiều cao thần tốc 10cm trong 1 tuần",unreliable
"Ứng dụng bí mật giúp trúng số 100 phần trăm","Một trang web quảng cáo ứng dụng dự đoán kết quả xổ số chính xác tuyệt đối với tỷ lệ trúng thưởng 100 phần trăm",unreliable
"Ăn tỏi sống chữa khỏi mọi loại virus kể cả HIV","Bài đăng lan truyền rộng rãi cho rằng chỉ cần ăn tỏi sống mỗi ngày sẽ chống được tất cả virus kể cả HIV và ung thư",unreliable
"Thiết bị nhỏ tạo điện vô hạn không cần nhiên liệu","Quảng cáo trên mạng hứa hẹn thiết bị nhỏ bé có thể tạo ra điện không giới hạn mà không cần bất kỳ nhiên liệu hay năng lượng mặt trời",unreliable
"Loại lá cây bí ẩn chữa khỏi tiểu đường chỉ sau 2 ngày","Tin đồn trên mạng khẳng định chỉ cần uống nước từ loại lá cây bí ẩn này sẽ khỏi bệnh tiểu đường type 2 hoàn toàn chỉ sau 2 ngày",unreliable
"Tắm nước muối 10 ngày trị khỏi bệnh gan","Bài viết không rõ nguồn gốc khuyên người bị bệnh gan uống nước muối pha loãng mỗi sáng sẽ chữa khỏi hoàn toàn bệnh xơ gan",unreliable
"Tinh thần nhà phong thủy bảo đảm giàu sang trong 30 ngày","Một trang mạng quảng cáo khóa học phong thủy bảo đảm người học sẽ giàu sang phú quý chỉ trong 30 ngày áp dụng",unreliable
"Chính phủ bí mật thêm hóa chất vào nước máy để kiểm soát tư tưởng","Thông tin sai lệch lan truyền cho rằng chính phủ đang bí mật cho thêm hóa chất vào nguồn nước sinh hoạt để kiểm soát suy nghĩ người dân",unreliable
"Nam diễn viên nổi tiếng qua đời vì tai nạn thực ra vẫn còn sống","Tin đồn bịa đặt cho rằng một nghệ sĩ nổi tiếng đã qua đời trong vụ tai nạn bí ẩn nhưng thực ra đang sống ẩn dật",unreliable
"Cá ngừ đại dương hấp thụ phóng xạ từ Fukushima gây ung thư","Tin giả lan truyền rằng cá ngừ đại dương tại biển Việt Nam đã bị nhiễm phóng xạ Fukushima và ăn vào sẽ gây ung thư",unreliable
"Robot AI đã tự ý lập trình để tiêu diệt con người","Thông tin giả mạo lan truyền rằng các robot trí tuệ nhân tạo tại một công ty lớn đã tự lập trình để chống lại và tiêu diệt con người",unreliable
"Sóng 5G gây ung thư não và suy giảm hệ miễn dịch","Thông tin sai lệch xuất hiện trên mạng xã hội cho rằng công nghệ sóng 5G phát ra bức xạ gây ung thư não và phá huỷ hệ miễn dịch con người",unreliable
"Uống nước ép lá ổi chữa khỏi kẹt mật trong gan","Thông tin không có cơ sở khoa học lan truyền rằng uống nước ép lá ổi xanh hàng ngày sẽ chữa khỏi hoàn toàn bệnh kẹt mật và xơ gan",unreliable
"Chính phủ sắp đổi tiền mới loại bỏ tiền cũ trong 30 ngày","Tin đồn giả mạo xuất hiện trên mạng xã hội với nội dung sắp tới chính phủ sẽ đổi sang đồng tiền mới và thu hồi toàn bộ tiền cũ trong vòng 30 ngày",unreliable
"Hoa quả nhập khẩu chứa hóa chất gây ngộ độc thần kinh","Bài viết lan truyền rộng rãi cho rằng hầu hết hoa quả nhập khẩu từ Trung Quốc chứa hóa chất độc hại gây ngộ độc thần kinh khi ăn",unreliable
"Tắm cát bào biển Nha Trang mỗi ngày chữa khớp và cột sống","Bài quảng cáo trên mạng khẳng định phương pháp tắm cát biển theo kiểu đặc biệt giúp trị dứt điểm bệnh xương khớp và thoát vị đĩa đệm",unreliable
"Một gia đình trúng 50 tỷ đồng nhờ mua vé số theo mộng báo","Câu chuyện bịa đặt lan truyền rằng một gia đình nghèo đã trúng 50 tỷ đồng tiền xổ số nhờ làm theo giấc mộng báo số",unreliable
"Nước tiểu bò chữa khỏi bệnh tiểu đường và huyết áp cao","Thông tin sai lệch từ nguồn không xác định cho rằng uống nước tiểu bò tươi mỗi sáng sẽ chữa khỏi hoàn toàn bệnh tiểu đường và cao huyết áp",unreliable
"Cở sở bán đất nền lừa đảo nhiều khách hàng bỏ trốn","Tin đồn chưa được kiểm chứng lan truyền rằng một chủ đầu tư bất động sản đã lừa đảo hàng trăm khách hàng và bỏ trốn ra nước ngoài cùng hàng trăm tỷ đồng",unreliable
"Thuốc giảm cân đặc biệt giúp giảm 15kg chỉ trong 2 tuần","Quảng cáo lan truyền trên mạng về loại thuốc giảm cân thần kỳ được bào chế từ thảo dược tự nhiên giúp giảm 15kg trong 2 tuần không cần ăn kiêng",unreliable
"Bản đồ bí mật lộ hang ổ vàng và kho báu quân đội","Tin bịa đặt về bản đồ bí mật được phát hiện dẫn đến kho báu khổng lồ cùng hàng tấn vàng được cất giấu từ thời chiến tranh tại một tỉnh miền Trung",unreliable
"Trẻ em không nên tiêm vắc xin vì gây bại liệt","Thông tin phản khoa học lan truyền mạnh mẽ rằng vắc xin gây ra bại liệt và tự kỷ ở trẻ em và các tổ chức y tế đang che giấu sự thật này",unreliable
"Hít thở không khí biển chữa khỏi bệnh phổi mạn tính","Bài viết không có cơ sở khuyến cáo người bệnh phổi mạn tính nên ra biển hít thở không khí muối để chữa bệnh thay vì dùng thuốc",unreliable
"Thực phẩm hữu cơ 100 phần trăm loại bỏ tế bào ung thư","Quảng cáo lan truyền rằng bộ thực phẩm hữu cơ đặc biệt từ nước ngoài có khả năng tiêu diệt hoàn toàn tế bào ung thư trong cơ thể",unreliable
"Đại gia bí ẩn tặng tiền cho người chia sẻ bài viết","Tin giả lan truyền về một đại gia giấu tên sẽ tặng tiền cho bất kỳ ai chia sẻ bài viết của họ lên mạng xã hội",unreliable
"Wifi nhà hàng xóm phát ra sóng gây bệnh cho trẻ em","Thông tin sai lệch cho rằng sóng wifi của nhà hàng xóm có thể xuyên qua tường gây bệnh ung thư và rối loạn tâm thần cho trẻ em",unreliable
"Ăn sầu riêng và uống bia cùng lúc gây chết người tức thì","Tin đồn bịa đặt và vô căn cứ cho rằng ăn sầu riêng và uống bia cùng lúc có thể gây phản ứng hóa học nguy hiểm dẫn đến tử vong",unreliable
"Nhà máy thủy điện bí mật làm trái đất xoay chậm hơn","Thông tin giả mạo xuất hiện tuyên bố các nhà máy thủy điện lớn đang làm chậm vòng quay của trái đất gây ra biến đổi khí hậu cực đoan",unreliable
"Ngủ dưới đèn xanh mỗi tối tăng cường miễn dịch tự nhiên","Quảng cáo vô căn cứ lan truyền cho rằng ngủ dưới ánh đèn LED màu xanh lá cây mỗi tối sẽ kích hoạt hệ miễn dịch và ngăn ngừa mọi bệnh tật",unreliable
"Uống dầu diesel pha loãng chữa sâu răng và viêm lợi","Thông tin nguy hiểm và sai lệch lan truyền rằng uống dầu diesel pha loãng với nước mỗi ngày sẽ tiêu diệt vi khuẩn trong miệng và chữa sâu răng",unreliable
"Ăn đất sét 30 ngày giải độc cơ thể hoàn toàn","Bài đăng lan truyền mạnh cho rằng ăn đất sét nguyên chất mỗi ngày trong 30 ngày sẽ hấp thụ và loại bỏ hoàn toàn độc tố trong cơ thể",unreliable
"Viên đá năng lượng hấp thụ bức xạ điện thoại bảo vệ não","Sản phẩm được quảng cáo là viên đá hấp thụ toàn bộ bức xạ từ điện thoại thông minh bảo vệ não và ngăn chặn ung thư não hoàn toàn",unreliable
"Người phụ nữ 90 tuổi hồi trẻ lại nhờ uống tinh chất nhau thai","Quảng cáo bịa đặt về người phụ nữ 90 tuổi trông như 40 tuổi nhờ sử dụng tinh chất nhau thai của một thương hiệu không rõ nguồn gốc",unreliable
"Cơ quan chức năng bí mật đưa vi mạch vào vắc xin để theo dõi","Thuyết âm mưu vô căn cứ lan truyền rằng các cơ quan bí mật đã đưa vi mạch điện tử vào vắc xin COVID-19 để theo dõi tọa độ của người dân",unreliable
"Chỉ cần thiền định 20 phút chữa khỏi trầm cảm mà không cần thuốc","Bài viết phản khoa học cho rằng người bị trầm cảm nặng chỉ cần thiền định 20 phút mỗi ngày sẽ khỏi hoàn toàn và không cần dùng bất kỳ loại thuốc nào",unreliable
"Rắn hổ mang cắn người mà vẫn sống nhờ uống bia","Tin đồn bịa đặt lan truyền rằng một người đàn ông bị rắn hổ mang cắn đã uống 30 lon bia và sống sót mà không cần điều trị y tế",unreliable
"Muối Himalaya hồng chứa 84 khoáng chất chữa dứt điểm tiểu đường","Quảng cáo thổi phồng và sai lệch cho rằng muối Himalaya màu hồng chứa 84 khoáng chất đặc biệt có thể chữa dứt điểm bệnh tiểu đường",unreliable
"Ngâm chân nước muối ấm 1 giờ giảm 3kg trong 1 tuần","Bài viết vô căn cứ lan truyền cho rằng phương pháp ngâm chân nước muối ấm 1 giờ mỗi ngày sẽ giúp giảm 3kg chỉ trong vòng 1 tuần",unreliable
"Đọc lời cầu nguyện 7 lần sẽ thoát khỏi đen đủi trong tháng","Bài đăng mê tín dị đoan lan truyền cho rằng đọc một lời cầu nguyện đặc biệt 7 lần trong ngày sẽ giúp thoát khỏi vận đen trong tháng",unreliable
"Đắp lá chuối lên vết thương hở thay thế thuốc sát trùng","Thông tin nguy hiểm và sai lệch khuyến cáo dùng lá chuối tươi đắp trực tiếp lên vết thương hở thay vì sử dụng thuốc sát trùng và băng vô trùng",unreliable
